year,geo,component,avg_cpi
2014,Alberta,All-items,132.2
2014,Alberta,Shelter,162.5
2014,British Columbia,All-items,118.9
2014,British Columbia,Shelter,114.2
2014,Canada,All-items,125.2
2014,Canada,Shelter,132.2
2014,Manitoba,All-items,125.3
2014,Manitoba,Shelter,135.4
2014,New Brunswick,All-items,124.8
2014,New Brunswick,Shelter,129.2
2014,Newfoundland and Labrador,All-items,128.4
2014,Newfoundland and Labrador,Shelter,150.0
2014,Nova Scotia,All-items,128.8
2014,Nova Scotia,Shelter,141.1
2014,Ontario,All-items,125.9
2014,Ontario,Shelter,131.5
2014,Prince Edward Island,All-items,130.1
2014,Prince Edward Island,Shelter,135.2
2014,Quebec,All-items,123.4
2014,Quebec,Shelter,128.1
2014,Saskatchewan,All-items,128.7
2014,Saskatchewan,Shelter,154.4
2015,Alberta,All-items,133.7
2015,Alberta,Shelter,162.9
2015,British Columbia,All-items,120.2
2015,British Columbia,Shelter,114.1
2015,Canada,All-items,126.6
2015,Canada,Shelter,133.7
2015,Manitoba,All-items,126.8
2015,Manitoba,Shelter,137.8
2015,New Brunswick,All-items,125.4
2015,New Brunswick,Shelter,129.5
2015,Newfoundland and Labrador,All-items,129.0
2015,Newfoundland and Labrador,Shelter,150.1
2015,Nova Scotia,All-items,129.3
2015,Nova Scotia,Shelter,139.7
2015,Ontario,All-items,127.4
2015,Ontario,Shelter,134.5
2015,Prince Edward Island,All-items,129.3
2015,Prince Edward Island,Shelter,131.8
2015,Quebec,All-items,124.7
2015,Quebec,Shelter,128.7
2015,Saskatchewan,All-items,130.8
2015,Saskatchewan,Shelter,158.7
2016,Alberta,All-items,135.2
2016,Alberta,Shelter,162.5
2016,British Columbia,All-items,122.4
2016,British Columbia,Shelter,115.7
2016,Canada,All-items,128.4
2016,Canada,Shelter,135.8
2016,Manitoba,All-items,128.4
2016,Manitoba,Shelter,140.6
2016,New Brunswick,All-items,128.2
2016,New Brunswick,Shelter,131.7
2016,Newfoundland and Labrador,All-items,132.5
2016,Newfoundland and Labrador,Shelter,152.2
2016,Nova Scotia,All-items,130.9
2016,Nova Scotia,Shelter,139.4
2016,Ontario,All-items,129.7
2016,Ontario,Shelter,138.1
2016,Prince Edward Island,All-items,130.8
2016,Prince Edward Island,Shelter,131.4
2016,Quebec,All-items,125.6
2016,Quebec,Shelter,129.8
2016,Saskatchewan,All-items,132.2
2016,Saskatchewan,Shelter,160.5
2017,Alberta,All-items,137.3
2017,Alberta,Shelter,164.6
2017,British Columbia,All-items,125.0
2017,British Columbia,Shelter,118.7
2017,Canada,All-items,130.4
