date,year,month,industry,employed_thousands
2014-01-01,2014,1,"Total, all industries",17738.5
2014-01-01,2014,1,Goods-producing sector,3902.9
2014-01-01,2014,1,"Agriculture [111-112, 1100, 1151-1152]",303.3
2014-01-01,2014,1,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",370.6
2014-01-01,2014,1,"Forestry and logging and support activities for forestry [113, 1153]",48.4
2014-01-01,2014,1,"Fishing, hunting and trapping [114]",15.9
2014-01-01,2014,1,"Mining, quarrying, and oil and gas extraction [21, 2100]",306.3
2014-01-01,2014,1,Utilities [22],134.9
2014-01-01,2014,1,Construction [23],1365.1
2014-01-01,2014,1,Manufacturing [31-33],1729.0
2014-01-01,2014,1,"Durables [321, 327, 331-339]",1039.5
2014-01-01,2014,1,"Non-durables [311-316, 322-326]",689.4
2014-01-01,2014,1,Services-producing sector,13835.6
2014-01-01,2014,1,"Wholesale and retail trade [41, 44-45]",2778.9
2014-01-01,2014,1,Wholesale trade [41],639.4
2014-01-01,2014,1,Retail trade [44-45],2139.4
2014-01-01,2014,1,Transportation and warehousing [48-49],891.9
2014-01-01,2014,1,"Finance, insurance, real estate, rental and leasing [52, 53]",1096.2
2014-01-01,2014,1,Finance and insurance [52],791.3
2014-01-01,2014,1,Real estate and rental and leasing [53],304.9
2014-01-01,2014,1,"Professional, scientific and technical services [54]",1325.5
2014-01-01,2014,1,"Business, building and other support services [55, 56]",724.8
2014-01-01,2014,1,Educational services [61],1223.9
2014-01-01,2014,1,Health care and social assistance [62],2195.4
2014-01-01,2014,1,"Information, culture and recreation [51, 71]",752.9
2014-01-01,2014,1,Accommodation and food services [72],1180.0
2014-01-01,2014,1,Other services (except public administration) [81],760.9
2014-01-01,2014,1,Public administration [91],905.3
2015-01-01,2015,1,"Total, all industries",17857.2
2015-01-01,2015,1,Goods-producing sector,3875.3
2015-01-01,2015,1,"Agriculture [111-112, 1100, 1151-1152]",293.5
2015-01-01,2015,1,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",357.7
2015-01-01,2015,1,"Forestry and logging and support activities for forestry [113, 1153]",50.2
2015-01-01,2015,1,"Fishing, hunting and trapping [114]",17.0
2015-01-01,2015,1,"Mining, quarrying, and oil and gas extraction [21, 2100]",290.5
2015-01-01,2015,1,Utilities [22],135.1
2015-01-01,2015,1,Construction [23],1353.8
2015-01-01,2015,1,Manufacturing [31-33],1735.4
2015-01-01,2015,1,"Durables [321, 327, 331-339]",1043.0
2015-01-01,2015,1,"Non-durables [311-316, 322-326]",692.3
2015-01-01,2015,1,Services-producing sector,13981.9
2015-01-01,2015,1,"Wholesale and retail trade [41, 44-45]",2769.8
2015-01-01,2015,1,Wholesale trade [41],681.8
2015-01-01,2015,1,Retail trade [44-45],2088.0
2015-01-01,2015,1,Transportation and warehousing [48-49],905.0
2015-01-01,2015,1,"Finance, insurance, real estate, rental and leasing [52, 53]",1109.2
2015-01-01,2015,1,Finance and insurance [52],794.8
2015-01-01,2015,1,Real estate and rental and leasing [53],314.4
2015-01-01,2015,1,"Professional, scientific and technical services [54]",1355.6
2015-01-01,2015,1,"Business, building and other support services [55, 56]",745.6
2015-01-01,2015,1,Educational services [61],1266.5
2015-01-01,2015,1,Health care and social assistance [62],2245.8
