year,geo,avg_hourly_wage
2014,Alberta,29.07
2014,British Columbia,24.97
2014,Canada,25.18
2014,Manitoba,22.95
2014,New Brunswick,21.37
2014,Newfoundland and Labrador,25.56
2014,Nova Scotia,22.35
2014,Ontario,25.45
2014,Prince Edward Island,20.9
2014,Quebec,23.67
2014,Saskatchewan,26.06
2015,Alberta,29.91
2015,British Columbia,25.84
2015,Canada,25.87
2015,Manitoba,23.68
2015,New Brunswick,21.72
2015,Newfoundland and Labrador,24.84
2015,Nova Scotia,22.41
2015,Ontario,26.18
2015,Prince Edward Island,21.36
2015,Quebec,24.31
2015,Saskatchewan,26.55
2016,Alberta,30.45
2016,British Columbia,26.03
2016,Canada,26.4
2016,Manitoba,24.17
2016,New Brunswick,22.47
2016,Newfoundland and Labrador,24.91
2016,Nova Scotia,23.3
2016,Ontario,26.89
2016,Prince Edward Island,21.73
2016,Quebec,24.75
2016,Saskatchewan,27.26
2017,Alberta,30.76
2017,British Columbia,26.53
2017,Canada,26.81
2017,Manitoba,24.77
2017,New Brunswick,22.77
2017,Newfoundland and Labrador,25.37
2017,Nova Scotia,23.64
2017,Ontario,27.14
2017,Prince Edward Island,22.33
2017,Quebec,25.52
2017,Saskatchewan,27.33
2018,Alberta,31.37
2018,British Columbia,27.41
2018,Canada,27.56
2018,Manitoba,25.07
2018,New Brunswick,23.27
2018,Newfoundland and Labrador,26.2
2018,Nova Scotia,23.97
2018,Ontario,28.18
2018,Prince Edward Island,22.48
2018,Quebec,25.93
2018,Saskatchewan,27.9
2019,Alberta,32.0
2019,British Columbia,28.14
2019,Canada,28.32
2019,Manitoba,25.65
2019,New Brunswick,23.71
2019,Newfoundland and Labrador,26.5
2019,Nova Scotia,24.08
2019,Ontario,28.97
2019,Prince Edward Island,22.87
2019,Quebec,26.9
2019,Saskatchewan,28.12
2020,Alberta,33.54
2020,British Columbia,30.15
2020,Canada,30.04
2020,Manitoba,26.8
2020,New Brunswick,24.89
2020,Newfoundland and Labrador,27.61
2020,Nova Scotia,25.55
2020,Ontario,30.9
2020,Prince Edward Island,24.27
2020,Quebec,28.54
2020,Saskatchewan,29.61
2021,Alberta,33.21
2021,British Columbia,31.3
2021,Canada,30.69
2021,Manitoba,27.2
2021,New Brunswick,25.53
2021,Newfoundland and Labrador,28.45
2021,Nova Scotia,26.06
2021,Ontario,31.66
2021,Prince Edward Island,25.3
2021,Quebec,29.26
2021,Saskatchewan,29.68
2022,Alberta,33.64
2022,British Columbia,32.63
2022,Canada,31.97
2022,Manitoba,28.09
2022,New Brunswick,27.36
2022,Newfoundland and Labrador,29.4
2022,Nova Scotia,27.41
2022,Ontario,32.97
2022,Prince Edward Island,26.84
2022,Quebec,30.95
2022,Saskatchewan,30.51
2023,Alberta,34.97
2023,British Columbia,34.76
2023,Canada,33.56
2023,Manitoba,29.38
2023,New Brunswick,28.72
2023,Newfoundland and Labrador,31.01
2023,Nova Scotia,28.87
2023,Ontario,34.63
2023,Prince Edward Island,27.94
2023,Quebec,32.39
2023,Saskatchewan,31.56
2024,Alberta,36.38
2024,British Columbia,36.65
2024,Canada,35.2
2024,Manitoba,30.39
2024,New Brunswick,30.31
2024,Newfoundland and Labrador,32.48
2024,Nova Scotia,30.79
2024,Ontario,36.44
2024,Prince Edward Island,29.56
2024,Quebec,33.84
2024,Saskatchewan,32.58
