year,geo,avg_hourly_wage,cpi_all_items,cpi_shelter,wage_index,cpi_index,shelter_index
2014,Alberta,29.07,132.2,162.5,100.0,100.0,100.0
2014,British Columbia,24.97,118.9,114.2,100.0,100.0,100.0
2014,Canada,25.18,125.2,132.2,100.0,100.0,100.0
2014,Manitoba,22.95,125.3,135.4,100.0,100.0,100.0
2014,New Brunswick,21.37,124.8,129.2,100.0,100.0,100.0
2014,Newfoundland and Labrador,25.56,128.4,150.0,100.0,100.0,100.0
2014,Nova Scotia,22.35,128.8,141.1,100.0,100.0,100.0
2014,Ontario,25.45,125.9,131.5,100.0,100.0,100.0
2014,Prince Edward Island,20.9,130.1,135.2,100.0,100.0,100.0
2014,Quebec,23.67,123.4,128.1,100.0,100.0,100.0
2014,Saskatchewan,26.06,128.7,154.4,100.0,100.0,100.0
2015,Alberta,29.91,133.7,162.9,102.88957688338493,101.13464447806355,100.24615384615385
2015,British Columbia,25.84,120.2,114.1,103.48418101722068,101.09335576114383,99.9124343257443
2015,Canada,25.87,126.6,133.7,102.7402700555997,101.1182108626198,101.13464447806355
2015,Manitoba,23.68,126.8,137.8,103.18082788671023,101.19712689545094,101.77252584933531
2015,New Brunswick,21.72,125.4,129.5,101.63781001403835,100.48076923076923,100.23219814241486
2015,Newfoundland and Labrador,24.84,129.0,150.1,97.1830985915493,100.46728971962618,100.06666666666666
2015,Nova Scotia,22.41,129.3,139.7,100.26845637583892,100.38819875776397,99.0077958894401
2015,Ontario,26.18,127.4,134.5,102.86836935166994,101.1914217633042,102.28136882129277
2015,Prince Edward Island,21.36,129.3,131.8,102.20095693779905,99.38508839354344,97.48520710059174
2015,Quebec,24.31,124.7,128.7,102.70384452893957,101.05348460291734,100.46838407494145
2015,Saskatchewan,26.55,130.8,158.7,101.88027628549501,101.63170163170166,102.78497409326424
2016,Alberta,30.45,135.2,162.5,104.74716202270382,102.26928895612708,100.0
2016,British Columbia,26.03,122.4,115.7,104.24509411293552,102.94365012615643,101.31348511383538
2016,Canada,26.4,128.4,135.8,104.84511517077044,102.555910543131,102.72314674735253
2016,Manitoba,24.17,128.4,140.6,105.31590413943357,102.47406225059856,103.84047267355983
2016,New Brunswick,22.47,128.2,131.7,105.14740290126345,102.72435897435896,101.93498452012383
2016,Newfoundland and Labrador,24.91,132.5,152.2,97.45696400625978,103.19314641744548,101.46666666666665
2016,Nova Scotia,23.3,130.9,139.4,104.25055928411633,101.63043478260869,98.79518072289157
2016,Ontario,26.89,129.7,138.1,105.65815324165031,103.01826846703732,105.01901140684411
2016,Prince Edward Island,21.73,130.8,131.4,103.97129186602871,100.5380476556495,97.18934911242604
2016,Quebec,24.75,125.6,129.8,104.56273764258555,101.78282009724472,101.32708821233413
2016,Saskatchewan,27.26,132.2,160.5,104.60475825019189,102.71950271950271,103.95077720207253
2017,Alberta,30.76,137.3,164.6,105.81355349157207,103.85779122541605,101.29230769230769
2017,British Columbia,26.53,125.0,118.7,106.24749699639568,105.13036164844407,103.94045534150614
2017,Canada,26.81,130.4,138.1,106.47339158061952,104.15335463258786,104.46293494704992
2017,Manitoba,24.77,130.5,144.4,107.93028322440088,104.15003990422984,106.64697193500739
2017,New Brunswick,22.77,131.2,134.6,106.55124005615349,105.12820512820514,104.17956656346749
2017,Newfoundland and Labrador,25.37,135.7,155.7,99.25665101721441,105.68535825545169,103.8
2017,Nova Scotia,23.64,132.4,141.7,105.7718120805369,102.79503105590062,100.42523033309709
2017,Ontario,27.14,131.9,140.4,106.64047151277015,104.76568705321685,106.7680608365019
2017,Prince Edward Island,22.33,133.2,133.8,106.84210526315789,102.38278247501921,98.96449704142013
2017,Quebec,25.52,126.9,131.0,107.81580059146599,102.83630470016207,102.26385636221703
2017,Saskatchewan,27.33,134.4,163.5,104.87336914811974,104.42890442890445,105.89378238341969
2018,Alberta,31.37,140.6,168.3,107.91193670450636,106.35400907715582,103.56923076923077
2018,British Columbia,27.41,128.4,122.5,109.77172607128556,107.98990748528175,107.26795096322242
2018,Canada,27.56,133.4,140.9,109.45194598888006,106.54952076677317,106.58093797276855
2018,Manitoba,25.07,133.8,148.8,109.23747276688454,106.78371907422188,109.89660265878878
2018,New Brunswick,23.27,134.0,137.5,108.89096864763688,107.37179487179486,106.42414860681116
2018,Newfoundland and Labrador,26.2,137.9,161.0,102.50391236306729,107.398753894081,107.33333333333333
2018,Nova Scotia,23.97,135.3,146.1,107.24832214765098,105.04658385093168,103.54358610914245
2018,Ontario,28.18,135.0,142.7,110.72691552062868,107.22795869737887,108.51711026615969
2018,Prince Edward Island,22.48,136.3,138.2,107.55980861244021,104.76556495003844,102.21893491124261
2018,Quebec,25.93,129.0,133.0,109.54795099281792,104.53808752025931,103.82513661202186
2018,Saskatchewan,27.9,137.5,167.4,107.06062931696086,106.83760683760686,108.419689119171
2019,Alberta,32.0,143.1,172.3,110.07911936704507,108.24508320726174,106.03076923076924
2019,British Columbia,28.14,131.4,125.4,112.69523428113737,110.51303616484441,109.80735551663747
2019,Canada,28.32,136.0,144.5,112.4702144559174,108.62619808306708,109.30408472012103
2019,Manitoba,25.65,136.8,153.5,111.76470588235294,109.17797286512372,113.36779911373706
2019,New Brunswick,23.71,136.3,140.2,110.94992980814224,109.21474358974359,108.5139318885449
2019,Newfoundland and Labrador,26.5,139.3,163.4,103.67762128325508,108.48909657320873,108.93333333333332
2019,Nova Scotia,24.08,137.5,149.2,107.74049217002235,106.75465838509315,105.74060949681076
2019,Ontario,28.97,137.5,147.0,113.83104125736739,109.21366163621921,111.787072243346
2019,Prince Edward Island,22.87,137.9,139.0,109.42583732057417,105.99538816295157,102.81065088757397
2019,Quebec,26.9,131.7,135.6,113.64596535699197,106.72609400324147,105.85480093676816
2019,Saskatchewan,28.12,139.9,170.4,107.9048349961627,108.70240870240873,110.36269430051813
2020,Alberta,33.54,144.7,174.6,115.37667698658409,109.4553706505295,107.44615384615383
2020,British Columbia,30.15,132.4,127.2,120.74489387264717,111.35407905803196,111.38353765323994
2020,Canada,30.04,137.0,147.0,119.3010325655282,109.42492012779552,111.19515885022695
2020,Manitoba,26.8,137.5,156.1,116.77559912854032,109.7366320830008,115.28803545051699
2020,New Brunswick,24.89,136.6,142.1,116.47168928404305,109.45512820512819,109.98452012383902
2020,Newfoundland and Labrador,27.61,139.6,165.2,108.02034428794994,108.72274143302181,110.13333333333333
2020,Nova Scotia,25.55,137.9,150.0,114.31767337807605,107.06521739130434,106.30758327427357
2020,Ontario,30.9,138.4,150.1,121.41453831041258,109.92851469420175,114.1444866920152
2020,Prince Edward Island,24.27,137.9,137.8,116.1244019138756,105.99538816295157,101.92307692307693
2020,Quebec,28.54,132.8,137.6,120.57456696239966,107.61750405186386,107.416081186573
2020,Saskatchewan,29.61,140.7,171.9,113.62240982348426,109.32400932400932,111.33419689119171
2021,Alberta,33.21,149.3,180.2,114.24148606811147,112.93494704992438,110.8923076923077
